"","ID","Ancien_ID","Nom","Statut","Latitude","Longitude","Annee_implante","sum","sum2022","sum2021","sum2020","sum2019","labels"
"18",100025474,NA,"Saint-Laurent/Bellechasse","En Maintenance",45.5278195427535,-73.6031121673584,2016,3668533,725859,1063414,1139813,739447,"<b>SAINT-LAURENT/BELLECHASSE</b><p>Statut: En Maintenance</b><p>Année implanté: 2016</b><p>Nombre de passages (2019-2022): 3.67M</b><p>Latitude: 45.5278195427535</b><p>Longitude: -73.6031121673584</b><p>ID: 100025474"
"4",100003034,6,"Rachel / Papineau","Actif",45.5304478291295,-73.5695403649233,2007,3105782,800334,1043645,1006421,255382,"<b>RACHEL / PAPINEAU</b><p>Statut: Actif</b><p>Année implanté: 2007</b><p>Nombre de passages (2019-2022): 3.11M</b><p>Latitude: 45.5304478291295</b><p>Longitude: -73.5695403649233</b><p>ID: 100003034"
"5",100003039,5,"Maisonneuve / Peel","Actif",45.500507,-73.57497,2008,3088498,759280,708744,580336,1040138,"<b>MAISONNEUVE / PEEL</b><p>Statut: Actif</b><p>Année implanté: 2008</b><p>Nombre de passages (2019-2022): 3.09M</b><p>Latitude: 45.500507</b><p>Longitude: -73.57497</b><p>ID: 100003039"
"10",100007390,37,"Eco-Display - Métro Laurier","Actif",45.5277722028042,-73.5888323717438,2013,3074342,508534,680911,802933,1081964,"<b>ECO-DISPLAY - MÉTRO LAURIER</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 3.07M</b><p>Latitude: 45.5277722028042</b><p>Longitude: -73.5888323717438</b><p>ID: 100007390"
"3",100003032,3,"Berri","Actif",45.516216,-73.56297,2010,2805413,849445,865854,422018,668096,"<b>BERRI</b><p>Statut: Actif</b><p>Année implanté: 2010</b><p>Nombre de passages (2019-2022): 2.81M</b><p>Latitude: 45.516216</b><p>Longitude: -73.56297</b><p>ID: 100003032"
"14",100012217,23,"Rachel / HôteldeVille","Actif",45.51962,-73.58025,2013,2313325,182315,713382,659028,758600,"<b>RACHEL / HÔTELDEVILLE</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 2.31M</b><p>Latitude: 45.51962</b><p>Longitude: -73.58025</b><p>ID: 100012217"
"2",100002880,10,"Pont Jacques-Cartier","Actif",45.5255082563413,-73.5544220271119,2011,2009974,439586,543032,513666,513690,"<b>PONT JACQUES-CARTIER</b><p>Statut: Actif</b><p>Année implanté: 2011</b><p>Nombre de passages (2019-2022): 2.01M</b><p>Latitude: 45.5255082563413</b><p>Longitude: -73.5544220271119</b><p>ID: 100002880"
"25",100052600,NA,"Rachel 3 (Angus)","Unidirectionnel",45.5432768109129,-73.5619071830412,2019,1753927,464287,629470,464282,195888,"<b>RACHEL 3 (ANGUS)</b><p>Statut: Unidirectionnel</b><p>Année implanté: 2019</b><p>Nombre de passages (2019-2022): 1.75M</b><p>Latitude: 45.5432768109129</b><p>Longitude: -73.5619071830412</b><p>ID: 100052600"
"7",100003041,8,"Côte Sainte-Catherine / Stuart","Actif",45.5149,-73.607506,2010,1715094,352616,485868,407478,469132,"<b>CÔTE SAINTE-CATHERINE / STUART</b><p>Statut: Actif</b><p>Année implanté: 2010</b><p>Nombre de passages (2019-2022): 1.72M</b><p>Latitude: 45.5149</b><p>Longitude: -73.607506</b><p>ID: 100003041"
"15",100012218,29,"Boyer / Rosemont","Actif",45.53365,-73.59459,2013,1707813,261343,317095,332110,797265,"<b>BOYER / ROSEMONT</b><p>Statut: Actif</b><p>Année implanté: 2013</b><p>Nombre de passages (2019-2022): 1.71M</b><p>Latitude: 45.53365</b><p>Longitude: -73.59459</b><p>ID: 100012218"
